Metai;Vieta;Vyrai ir moterys;Vyrai;Moterys
2009;Kauno m. sav.;335393;149678;185715
2009;Klaipedos m. sav.;170699;78207;92492
2009;Panevezio m. sav.;104793;46885;57908
2009;siauliu m. sav.;116196;51944;64252
2009;Vilniaus m. sav.;542969;244653;298316
2010;Kauno m. sav.;329542;146395;183147
2010;Klaipedos m. sav.;168134;76747;91387
2010;Panevezio m. sav.;103101;45927;57174
2010;siauliu m. sav.;114506;51048;63458
2010;Vilniaus m. sav.;543191;243763;299428
2011;Kauno m. sav.;317319;140490;176829
2011;Klaipedos m. sav.;162898;74086;88812
2011;Panevezio m. sav.;100027;44432;55595
2011;siauliu m. sav.;109748;48756;60992
2011;Vilniaus m. sav.;536127;240186;295941
2012;Kauno m. sav.;310773;137178;173595
2012;Klaipedos m. sav.;160142;72654;87488
2012;Panevezio m. sav.;98469;43640;54829
2012;siauliu m. sav.;107689;47683;60006
2012;Vilniaus m. sav.;533279;238785;294494
2013;Kauno m. sav.;306888;135230;171658
2013;Klaipedos m. sav.;158541;71892;86649
2013;Panevezio m. sav.;97343;43029;54314
2013;siauliu m. sav.;106470;47133;59337
2013;Vilniaus m. sav.;537152;240662;296490
2014;Kauno m. sav.;304012;133711;170301
2014;Klaipedos m. sav.;157305;71163;86142
2014;Panevezio m. sav.;96328;42597;53731
2014;siauliu m. sav.;105610;46756;58854
2014;Vilniaus m. sav.;539707;241732;297975
2015;Kauno m. sav.;301357;132380;168977
2015;Klaipedos m. sav.;156141;70563;85578
2015;Panevezio m. sav.;95202;42004;53198
2015;siauliu m. sav.;104569;46136;58433
2015;Vilniaus m. sav.;542626;243206;299420
