Metai;Vieta;Keliu_eismo_ivykiu_skaicius;Ivykiu_sk._1k gyv.;Gyventoju_sk;Gyventoju_tankumas;Auto_sk_1k_gyv;Pareigunu_sk;Islaidos_keliams_(mln._EUR);Vidutin˜s maìmenin˜s gruodzio 95 bezino kainos | EUR;Vidutin˜s maìmenin˜s gruodzio dyzelino kainos | EUR;Legali÷ alkoholini÷ g˜rim÷ suvartojimas, tenkantis vienam gyventojui | litrais, absoliutaus (100%) alkoholio;Alkoholini÷ g˜rim÷ maìmenini÷ kain÷ poky‹iai, palyginti su ankstesniu laikotarpiu | proc.;Vidutin˜s maìmenin˜s Lietuvoje gaminamos degtines (0.5) gruodzio kainos | EUR;Vidutin˜s maìmenin˜s Lietuvoje gaminamo alaus (0.5) gruodzio kainos | EUR;Aukstatis issilavinimas 15-29m amziaus grupeje;Gyventoj÷ iäsilavinimas 25-64m. Amziau grupeje | tðkst.;;;Valdìios sektoriaus iälaidos policijai(ESS 2010) | mln. EUR;Valdìios sektoriaus iälaidos keliu apsvietimui(ESS 2010) | mln. EUR;Vidutinis darbo uìmokestis | m˜nesinis | EUR
2000;Lietuvos Respublika;;;;;;;181,3;;;;;;;;zemas;vidutinis;aukstas;;;
2001;Lietuvos Respublika;;;;;;;148,9;;;;;;;;;;;;;
2002;Lietuvos Respublika;;;;;;;219;;;;;;;;;;;;;
2003;Lietuvos Respublika;5965;1,738308383;3431497;52,54972435;340;;263,80;0,67;0,62;9,3;-0,2;3,48;0,59;121,1;251;1130,6;417,5;141,1441;10,941;227,8
2004;Lietuvos Respublika;6357;1,870295025;3398929;52,05098009;362;;258,60;0,72;0,72;10,1;-0,4;3,59;0,59;129;237,1;1082,9;453,6;143,8444;13,1335;242
2005;Lietuvos Respublika;6772;2,01834753;3355220;51,38162328;408;;290,50;0,86;0,87;10,4;-0,4;3,61;0,57;115,9;219,3;1069,3;465,7;158,7296;15,2188;265,5
2006;Lietuvos Respublika;6588;2,002532042;3289835;50,38032159;451;;332,40;0,83;0,85;11,1;-0,5;3,77;0,61;114,3;210,5;1064,9;450,8;185,0721;16,8269;316,5
2007;Lietuvos Respublika;6448;1,984010378;3249983;49,77003063;450;;510,10;0,94;0,97;11,7;5,5;4;0,59;122,4;197,1;1028,9;482;205,5397;18,0255;391,5
2008;Lietuvos Respublika;4796;1,492869494;3212605;49,19762634;477;;735,30;0,76;0,85;11,8;12,6;4,75;0,68;126,2;163;1016,4;510,4;253,571;20,3224;478,1
2009;Lietuvos Respublika;3805;1,195091738;3183856;48,757366;496;;373,90;1,08;0,89;11,1;9,2;5,42;0,67;129,2;148;1015,6;517,7;224,8763;14,5687;464
2010;Lietuvos Respublika;3530;1,123496806;3141976;48,11601838;509;;460,80;1,25;1,12;11,5;1,1;5,37;0,67;128,8;135,1;991,7;541,1;212,2626;18,7547;449,6
2011;Lietuvos Respublika;3266;1,069911826;3052588;46,74713629;524;;430,50;1,29;1,28;12,5;-1,1;5,34;0,67;116,6;114,8;955,5;538,9;208,9358;17,0064;461,8
2012;Lietuvos Respublika;3391;1,128963148;3003641;45,99756508;541;;474,70;1,38;1,31;12,6;2,4;5,35;0,68;118,5;106,5;945,3;543,1;194,7963;18,4722;478,3
2013;Lietuvos Respublika;3391;1,141018976;2971905;45,51156202;562;;520,50;1,32;1,3;12,4;1,1;5,19;0,68;122,2;104;923,6;558,2;186,6666;18,2976;501,1
2014;Lietuvos Respublika;3225;1,095644871;2943472;45,07614089;370;;460,30;1,18;1,13;12,1;1,6;5,52;0,74;133,8;105,8;891,9;577,6;202,0898;21,4126;527,2
2015;Lietuvos Respublika;3031;1,037565271;2921262;44,73601838;385;;592,40;1,05;0,95;12;0,9;5,69;0,67;129,4;101,8;857,3;606,2;;;553,9
;;;;;;;;;;;;;;;;;;;;;
;koreliacija su eismo ivykiu sk;;0,996700276;0,89326844;0,89326844;-0,46290369;;-0,507028575;-0,813520015;-0,717506078;-0,721595205;-0,09094279;-0,969532863;-0,89725767;-0,41254519;0,94019173;0,851491111;-0,899101267;-0,52517867;-0,520269954;-0,878971824
