Metai;Vieta;Keliu_eismo_ivykiu_skaicius;Ivykiu_sk_1k_gyv;Gyventoju_sk;Gyventoju_tankumas;Auto_sk_1k_gyv;Islaidos_keliams_mln_eur;vidutine_95_bezino_kaina;vidutine_dyzelino_kaina;gryno_alko_suvartojimas_gyventojui_litrais;vidutine_lietuvoje_gaminamos_degtines05_kaina;vidutine_lietuvoje_gaminamo_alaus05_kaina;aukstatis_issilavinimas _15-29m;zemas_issilavinimas_25-64m;vidutinis_zemas_issilavinimas_25-64m;aukstas_zemas_issilavinimas_25-64m;viesojo_sektoriaus_islaidos_policijai_mln_eur;viesojo_sektoriaus_islaidos_apsvietimui_mln_eur;vidutinis_darbo_uzmokestis;policijos_pareigunu_sk_metu_gale;policijos_pareigunu_sk_100_tukst_gyv;bedarbiai_tukstanciais;
2003;Lietuvos Respublika;5965;1,738308383;3431497;52,54972435;340;263,8;0,67;0,62;9,3;3,48;0,59;121,1;251;1130,6;417,5;141,1441;10,941;227,8;11847;345;167;
2004;Lietuvos Respublika;6357;1,870295025;3398929;52,05098009;362;258,6;0,72;0,72;10,1;3,59;0,59;129;237,1;1082,9;453,6;143,8444;13,1335;242;11793;347;142,5;
2005;Lietuvos Respublika;6772;2,01834753;3355220;51,38162328;408;290,5;0,86;0,87;10,4;3,61;0,57;115,9;219,3;1069,3;465,7;158,7296;15,2188;265,5;11471;342;100,8;
2006;Lietuvos Respublika;6588;2,002532042;3289835;50,38032159;451;332,4;0,83;0,85;11,1;3,77;0,61;114,3;210,5;1064,9;450,8;185,0721;16,8269;316,5;11347;345;73,2;
2007;Lietuvos Respublika;6448;1,984010378;3249983;49,77003063;450;510,1;0,94;0,97;11,7;4;0,59;122,4;197,1;1028,9;482;205,5397;18,0255;391,5;11173;348;67,3;
2008;Lietuvos Respublika;4796;1,492869494;3212605;49,19762634;477;735,3;0,76;0,85;11,8;4,75;0,68;126,2;163;1016,4;510,4;253,571;20,3224;478,1;11018;346;73,4;
2009;Lietuvos Respublika;3805;1,195091738;3183856;48,757366;496;373,9;1,08;0,89;11,1;5,42;0,67;129,2;148;1015,6;517,7;224,8763;14,5687;464;10957;349;203,1;
2010;Lietuvos Respublika;3530;1,123496806;3141976;48,11601838;509;460,8;1,25;1,12;11,5;5,37;0,67;128,8;135,1;991,7;541,1;212,2626;18,7547;449,6;10738;352;312,1;
2011;Lietuvos Respublika;3266;1,069911826;3052588;46,74713629;524;430,5;1,29;1,28;12,5;5,34;0,67;116,6;114,8;955,5;538,9;208,9358;17,0064;461,8;9926;330;247,2;
2012;Lietuvos Respublika;3391;1,128963148;3003641;45,99756508;541;474,7;1,38;1,31;12,6;5,35;0,68;118,5;106,5;945,3;543,1;194,7963;18,4722;478,3;9530;321;216,9;
2013;Lietuvos Respublika;3391;1,141018976;2971905;45,51156202;562;520,5;1,32;1,3;12,4;5,19;0,68;122,2;104;923,6;558,2;186,6666;18,2976;501,1;9416;320;201,3;
2014;Lietuvos Respublika;3225;1,095644871;2943472;45,07614089;370;460,3;1,18;1,13;12,1;5,52;0,74;133,8;105,8;891,9;577,6;202,0898;21,4126;527,2;9484;325;173;
2015;Lietuvos Respublika;3031;1,037565271;2921262;44,73601838;385;592,4;1,05;0,95;12;5,69;0,67;129,4;101,8;857,3;606,2;205,0847;23,6443;553,9;8915;309;158,2;
