;;Vartotoju kainu indeksai (2010 m.  -100) ;;;;;;vidutines mazmenines kuro kainos EUR;;
laikas;ivykiu_skaicius;alkoholiniai_gerimai;transporto_priemoniu_isigijimas;asmeniniu_transporto_priemoniu_eksploatacija;transporto_paslaugos;svietimas;transporto_priemoniu_draudimas ;benzinas_95;dyzelinas;pirma_karta_registruotos_priemones
2003M01;374;76,8823;130,3658;63,8181;51,7291;73,7157;53,4305;0,74;0,69;9475
2003M02;299;77,5803;130,0416;64,1874;51,7278;73,6603;53,419;0,76;0,69;9543
2003M03;354;77,366;130,3132;64,9674;51,7789;73,6603;54,8214;0,77;0,74;10223
2003M04;416;76,7855;131,7066;64,1541;52,1137;73,6603;54,7608;0,75;0,72;9123
2003M05;543;77,0031;132,1852;61,6268;53,0416;73,6603;54,5142;0,71;0,65;7889
2003M06;581;77,2067;132,1256;59,9551;53,0634;73,6603;54,5351;0,7;0,63;10767
2003M07;584;77,31;131,8317;60,7655;52,9167;73,6603;54,62;0,72;0,64;9765
2003M08;615;77,3349;128,3441;61,0705;52,8633;73,6603;54,5902;0,74;0,65;9656
2003M09;524;77,2164;127,3097;61,1298;52,9567;74,1778;54,5902;0,74;0,65;8756
2003M10;533;77,196;126,723;59,9288;53,2288;74,2672;54,3821;0,71;0,66;9566
2003M11;463;77,2535;125,5759;60,4029;53,2542;74,2672;54,2913;0,71;0,66;8656
2003M12;567;77,2211;126,2993;60,4979;53,4331;74,2672;54,2913;0,71;0,66;7665
2004M01;365;77,1387;126,8119;62,1647;53,4606;74,2672;54,2913;0,7;0,65;7634
2004M02;343;75,5651;126,65;62,0087;53,6489;74,3175;54,2913;0,72;0,64;7949
2004M03;342;77,1285;126,6153;62,6754;53,7621;74,365;54,2913;0,74;0,66;11277
2004M04;448;77,1146;125,4883;63,8553;53,7351;74,3787;54,2913;0,76;0,68;13657
2004M05;562;77,1982;125,9944;66,9635;54,0977;74,3787;89,4326;0,74;0,68;12371
2004M06;552;77,0583;126,4951;67,1299;54,4546;74,3787;89,4326;0,78;0,69;13112
2004M07;597;76,6923;126,4372;66,7065;54,2146;74,3988;90,7764;0,77;0,68;13436
2004M08;659;76,4161;125,0336;67,274;54,3548;74,3988;92,2625;0,79;0,71;11805
2004M09;600;76,9907;126,1339;67,9568;54,6353;74,5015;90,3565;0,79;0,73;11228
2004M10;618;77,4684;124,4831;69,7245;54,9211;74,5015;78,3377;0,79;0,76;11786
2004M11;583;77,2755;122,7021;70,1817;55,1044;74,5015;77,8129;0,79;0,78;10230
2004M12;583;77,129;122,6701;66,1283;58,7319;74,5015;77,8129;0,79;0,78;10127
2005M01;502;77,24;121,8585;65,6329;59,7006;74,4617;77,8129;0,7;0,71;8710
2005M02;333;77,202;120,4701;67,5398;60,3528;74,4459;77,8129;0,74;0,72;9333
2005M03;309;76,9092;119,8813;68,5604;60,3577;74,2094;77,8129;0,78;0,78;11896
2005M04;426;76,7574;119,0027;69,8885;60,4716;74,2094;77,8129;0,82;0,82;15863
2005M05;581;76,617;117,8543;69,0826;61,0066;74,2908;76,6952;0,82;0,82;15026
2005M06;609;76,4456;116,9667;71,028;61,5745;74,2908;76,6952;0,82;0,82;14394
2005M07;693;76,379;115,578;74,213;61,5266;74,1411;76,6952;0,88;0,86;13436
2005M08;653;76,4532;115,4821;75,1135;62,9068;74,1411;76,6952;0,88;0,87;11320
2005M09;640;76,408;115,9511;78,0597;63,8492;73,5183;77,7367;0,97;0,91;10882
2005M10;675;76,3311;116,2755;78,8269;65,0817;73,4807;77,7367;0,97;0,91;10452
2005M11;586;76,3465;115,247;74,9117;65,4327;73,4869;81,2069;0,97;0,91;9509
2005M12;610;76,0973;114,2464;75,2126;66,2893;73,4513;81,2069;0,85;0,87;9785
2006M01;370;76,0997;120,5038;77,7374;66,6291;73,4994;81,2069;0,89;0,88;7345
2006M02;379;75,6313;117,3438;76,8428;67,6012;73,4791;91,9189;0,89;0,89;8710
2006M03;345;75,5585;114,3725;77,4847;68,0511;73,5042;94,6648;0,87;0,89;12030
2006M04;447;74,8934;114,1697;80,1273;68,2197;73,3833;95,6374;0,87;0,9;12651
2006M05;533;75,2598;114,2393;79,2035;68,3266;73,3833;97,1086;0,98;0,93;13781
2006M06;613;75,3305;112,2954;79,4474;68,9965;73,3958;97,1086;0,98;0,93;13137
2006M07;593;76,0328;112,5463;81,0055;69,0328;73,3958;97,5248;0,98;0,93;14021
2006M08;624;76,6511;110,8682;80,1475;69,3443;73,3958;97,5248;0,98;0,93;18363
2006M09;606;76,7836;109,7015;75,7957;69,495;73,3326;98,8365;0,92;0,87;17684
2006M10;561;77,0426;109,4336;76,5675;70,428;73,6106;99,3101;0,84;0,85;18164
2006M11;550;77,5483;109,027;76,2661;70,501;73,6214;102,5149;0,84;0,85;15587
2006M12;660;77,7333;109,5572;76,2751;71,1331;73,6214;102,5149;0,84;0,86;15377
2007M01;516;78,8682;110,49;73,7789;71,4125;74,4496;103,8586;0,84;0,86;14319
2007M02;287;79,2074;111,1302;74,9563;71,6519;75,3759;103,8586;0,84;0,86;13149
2007M03;489;79,632;112,2085;76,7882;71,8519;75,4304;95,4324;0,86;0,85;20219
2007M04;481;79,587;113,0447;78,5816;72,0993;75,4304;95,4324;0,92;0,87;18914
2007M05;525;79,8719;113,1887;80,3092;72,3911;75,5515;99,597;0,97;0,88;21214
2007M06;588;80,4606;113,1057;80,5867;72,6558;75,5515;98,9951;0,95;0,87;20402
2007M07;532;80,9455;113,1495;81,4918;73,4754;75,3494;104,0498;0,95;0,98;21395
2007M08;600;81,3435;113,2572;80,3587;75,9176;75,3494;104,0498;0,95;0,87;20615
2007M09;579;81,7426;113,3787;81,8925;76,9478;80,561;101,6534;0,95;0,87;18128
2007M10;564;81,4063;114,327;81,3277;76,2673;80,751;94,0234;0,92;0,9;21090
2007M11;522;81,0497;114,6176;85,6318;76,8783;80,5683;104,5372;0,92;0,9;16113
2007M12;529;81,0374;115,2962;85,1115;76,9448;80,5683;101,9056;0,96;0,98;14678
2008M01;397;84,8428;115,9171;89,5802;78,5214;81,2556;102,5872;0,95;0,98;15642
2008M02;352;89,825;115,8214;89,9793;79,1845;81,8293;104,2402;1,02;1,04;15667
2008M03;307;90,3352;115,8771;90,8679;79,4444;81,8007;104,193;1,02;1,08;16201
2008M04;380;90,7858;115,9739;92,7011;82,3743;82,1297;105,0615;1,03;1,09;20154
2008M05;381;90,6204;116,0642;96,5494;84,4198;82,1933;102,5043;1,08;1,08;17131
2008M06;415;90,9204;116,0765;99,1471;84,0481;82,1933;105,0629;1,16;1,26;14926
2008M07;420;91,1751;116,0518;100,603;84,8389;82,2371;107,965;1,18;1,27;17365
2008M08;419;91,2526;115,7765;97,2552;85,9176;82,2371;108,5842;1,16;1,25;14116
2008M09;394;91,3895;115,3424;96,7776;85,9806;86,3671;107,1028;1,11;1,14;13644
2008M10;400;91,7869;115,2185;92,1529;85,6852;88,1506;106,9003;1,03;1,07;20485
2008M11;355;92,1184;114,4322;83,1797;85,9301;88,1891;106,1701;0,89;0,96;9686
2008M12;396;91,922;114,3213;77,072;89,4943;88,1891;106,1701;0,78;0,87;16751
2009M01;250;96,5211;114,3648;86,6177;96,2658;88,3052;106,6571;0,92;0,93;9369
2009M02;235;99,5132;113,9039;86,8566;97,3951;89,1904;108,9911;0,94;0,9;9505
2009M03;201;99,864;113,8344;86,1726;98,2366;89,1853;107,8703;0,95;0,86;12488
2009M04;285;99,5573;105,976;86,5111;98,9734;89,0551;102,025;0,97;0,86;13569
2009M05;341;99,6452;103,6691;89,3017;98,8992;89,0425;101,4036;1,03;0,89;11942
2009M06;301;97,9889;103,6777;92,6989;100,556;88,7024;108,9039;1,08;0,94;12006
2009M07;329;97,6156;103,358;90,9509;101,4419;88,7024;105,4631;1,04;0,92;12075
2009M08;325;97,7022;101,5094;92,8759;101,6287;88,8574;102,752;1,09;0,89;10851
2009M09;306;99,0312;102,2568;92,0116;99,1753;100,6763;99,9894;1,07;0,87;11068
2009M10;334;100,2805;102,4161;91,6025;98,9733;101,189;99,7214;1,06;0,87;12084
2009M11;300;100,3304;102,0864;93,5614;98,7513;100,7465;99,5258;1,09;0,91;10473
2009M12;309;99,04;101,8004;92,7828;100,6054;100,7308;99,2541;1,08;0,89;11473
2010M01;209;99,5819;101,92;96,1733;100,1323;100,783;99,2541;1,13;0,95;6596
2010M02;158;99,5659;101,685;96,9813;99,1719;100,8166;100,4123;1,14;0,96;8767
2010M03;201;100,7376;100,7036;98,0339;99,3325;100,8589;96,9166;1,16;0,98;13994
2010M04;215;100,8554;100,9216;100,0303;98,8665;100,7971;96,6534;1,19;1,02;14703
2010M05;297;100,2025;100,954;101,1334;99,8305;101,0594;96,6531;1,21;1,03;14993
2010M06;304;100,4688;101,2488;100,6809;100,1334;98,095;100,7397;1,2;1,04;14703
2010M07;317;100,483;100,137;100,8016;101,1368;98,1433;99,6873;1,2;1,05;14271
2010M08;306;100,478;99,8291;100,0699;101,2896;98,1433;99,9729;1,19;1,03;14321
2010M09;315;100,6325;99,403;100,3596;99,9173;100,2236;102,2442;1,19;1,03;14056
2010M10;299;100,6942;98,7725;100,4177;99,561;100,3449;101,8049;1,18;1,03;15378
2010M11;312;97,9403;97,2387;99,8999;99,7313;100,3674;102,6089;1,17;1,04;14859
2010M12;248;98,3601;97,1867;105,4182;100,8969;100,3674;103,0527;1,25;1,12;14625
2011M01;144;99,8856;97,5918;107,6218;100,6863;100,2804;102,7129;1,27;1,16;7318
2011M02;154;98,0274;97,517;107,9115;99,26;100,218;103,4226;1,27;1,19;7784
2011M03;159;97,7837;97,8004;110,5434;99,0436;100,3069;101,8688;1,32;1,25;10430
2011M04;188;98,0073;98,4914;112,4106;99,8272;100,3069;101,7864;1,36;1,28;9756
2011M05;272;99,4691;98,0997;111,7082;100,0997;100,3069;101,709;1,35;1,24;9999
2011M06;279;99,7104;97,4832;111,1183;102,4576;100,3069;101,576;1,33;1,23;10376
2011M07;275;99,908;97,463;111,7165;104,6172;100,4861;103,0466;1,34;1,25;11706
2011M08;308;98,8643;97,3343;111,4201;107,3089;100,4861;103,3155;1,34;1,24;13282
2011M09;281;98,6515;97,1104;111,5719;105,2415;100,6907;103,8825;1,34;1,23;13532
2011M10;254;98,6683;97,0244;112,711;103,4366;100,9007;105,8884;1,34;1,25;13921
2011M11;259;99,0201;96,9532;112,124;103,3422;100,9007;106,1509;1,32;1,28;12220
2011M12;311;98,86;96,6098;111,0524;104,4928;101,0325;108,5782;1,29;1,28;11793
2012M01;260;99,8679;96,9155;112,996;103,8994;101,0794;110,2318;1,34;1,31;10532
2012M02;172;99,9593;96,1564;114,8893;103,5671;101,3638;110,6626;1,37;1,33;9966
2012M03;177;100,5578;96,4838;116,5052;104,1423;102,2304;110,1778;1,41;1,34;13453
2012M04;197;101,2504;96,2752;118,5264;105,2089;102,3242;111,7703;1,45;1,35;12922
2012M05;269;101,6061;95,839;117,9825;106,1305;102,2622;113,8598;1,43;1,34;13933
2012M06;259;102,016;95,874;114,8535;108,3502;102,2498;116,1663;1,38;1,29;13572
