Vieta;Data;Laikas;Dalyviu skaicius;Zuvusiuju skaicius;Suzeistuju skaicius;Dalyvavusiu transporto priemoniu skaicius;Apgadintu transporto priemoniu skaicius;Kelio reiksme;Dangos rusis;Dangos bukle;Paros metas;Meteorologines salygos;Kelio kreive;Atitvarai (1-yra, 0-nera);Sankryzos tipas;Tikslesnes vietos aplinkybes;Eismo ivykio dalyvio kategorija;Lytis;Gimimo data;Neigalumas (1 - taip, 0 - ne);Saugos dirzas;Vairuotojo kvalifikacija;Stazas;Blaivumas
Akmenes r. sav.;2015-03-07;23:23:00;4;0;3;1;1;Krasto keliai;Asfaltbetonis, cementbetonis;slapia;Sutemos (prieblanda);Giedra;Horizontalus vingis;0;;;Automobilio vairuotojas;Vyras;1992-06-03;0;Uzsegtas;Atitinka;1;Neblaivus
Akmenes r. sav.;2015-06-07;02:39:00;1;0;1;1;1;Krasto keliai;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1965-07-14;0;Uzsegtas;Atitinka;15;Blaivus
Akmenes r. sav.;2015-06-30;16:33:00;3;0;2;2;1;Krasto keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1965-10-19;0;Uzsegtas;Atitinka;28;Blaivus
Akmenes r. sav.;2015-07-10;09:30:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1955-06-27;0;Uzsegtas;Atitinka;34;Blaivus
Akmenes r. sav.;2015-07-29;10:12:00;4;0;3;2;2;Krasto keliai;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1960-09-24;0;Uzsegtas;Atitinka;26;Blaivus
Akmenes r. sav.;2015-08-04;10:24:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Dviracio vairuotojas;Vyras;1960-04-14;0;;;;Neblaivus
Akmenes r. sav.;2015-08-20;14:36:00;2;1;0;1;0;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1972-07-14;0;Uzsegtas;Atitinka;19;Blaivus
Akmenes r. sav.;2015-09-11;12:55:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Moteris;1983-03-12;0;Uzsegtas;Atitinka;8;Blaivus
Akmenes r. sav.;2015-09-17;10:32:00;2;1;0;2;2;Krasto keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1935-06-12;0;Uzsegtas;Atitinka;19;Blaivus
Akmenes r. sav.;2015-10-09;07:51:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1967-04-20;0;Uzsegtas;Atitinka;32;Blaivus
Akmenes r. sav.;2015-10-12;22:30:00;2;0;1;1;1;Krasto keliai;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Giedra;Tiesi nuokalne;0;;;Automobilio vairuotojas;Moteris;1963-08-27;0;Uzsegtas;Atitinka;20;Blaivus
Akmenes r. sav.;2015-10-14;09:05:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1972-11-15;0;Uzsegtas;Atitinka;24;Blaivus
Akmenes r. sav.;2015-10-14;16:46:00;2;0;1;1;1;Krasto keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1983-08-19;0;Uzsegtas;Atitinka;10;Blaivus
Akmenes r. sav.;2015-10-31;23:18:00;3;0;2;1;1;Rajoniniai keliai;Asfaltbetonis, cementbetonis;Apledejusi;Tamsus paros metas;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1994-11-13;0;Uzsegtas;Atitinka;0;Blaivus
Akmenes r. sav.;2015-11-20;11:38:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1938-09-19;0;;Atitinka;44;Blaivus
Alytaus m. sav.;2015-01-12;17:20:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lijundra;Tiesi nuokalne;0;NEREGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;Vyras;1995-02-03;0;Uzsegtas;Atitinka;0;Blaivus
Alytaus m. sav.;2015-01-22;17:40:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1992-09-19;0;Uzsegtas;Atitinka;4;Blaivus
Alytaus m. sav.;2015-01-30;14:40:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;REGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;Vyras;1995-10-20;0;Uzsegtas;Atitinka;0;Blaivus
Alytaus m. sav.;2015-02-13;15:02:00;4;0;1;4;3;;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1992-05-08;0;Uzsegtas;Atitinka;4;Blaivus
Alytaus m. sav.;2015-03-30;18:14:00;3;0;2;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Moteris;1973-08-14;0;Uzsegtas;Atitinka;20;Blaivus
Alytaus m. sav.;2015-04-02;16:58:00;6;0;2;4;4;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1988-03-21;0;Uzsegtas;Atitinka;1;Blaivus
Alytaus m. sav.;2015-04-07;07:40:00;3;0;1;3;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1969-05-20;0;Uzsegtas;Atitinka;10;Blaivus
Alytaus m. sav.;2015-04-16;17:05:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1957-04-02;0;Uzsegtas;Atitinka;40;Blaivus
Alytaus m. sav.;2015-04-28;14:00:00;3;0;2;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Lengvojo keturracio motociklo vairuotojas;Vyras;1994-09-05;0;;Atitinka;2;Blaivus
Alytaus m. sav.;2015-04-30;22:16:00;4;0;2;2;2;;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Vyras;1996-05-17;0;Uzsegtas;Atitinka;0;Blaivus
Alytaus m. sav.;2015-04-30;23:25:00;4;0;3;1;1;;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Vyras;1996-11-05;0;Uzsegtas;Neturi teises vairuoti;;Neblaivus
Alytaus m. sav.;2015-05-29;07:50:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Moteris;1985-06-20;0;Uzsegtas;Atitinka;10;Blaivus
Alytaus m. sav.;2015-06-16;17:02:00;2;0;2;2;2;Rajoniniai keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesi nuokalne;0;;;Automobilio vairuotojas;Moteris;1970-03-11;0;Uzsegtas;Atitinka;10;Blaivus
Alytaus m. sav.;2015-07-04;11:30:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1985-07-04;0;Uzsegtas;Atitinka;10;Blaivus
Alytaus m. sav.;2015-07-21;22:05:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Vyras;1971-01-24;0;Uzsegtas;Atitinka;22;Blaivus
Alytaus m. sav.;2015-07-26;10:48:00;2;0;1;2;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Apsiniauke;Tiesi ikalne;0;;Isvaziavimas is kiemo, automobiliu stovejimo aiksteles ir pan;Dviracio vairuotojas;Vyras;1988-06-22;0;;;;Blaivus
Alytaus m. sav.;2015-08-09;18:32:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Moteris;1982-05-24;0;Uzsegtas;Atitinka;10;Blaivus
Alytaus m. sav.;2015-08-14;20:45:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Pesciasis;Vyras;2009-08-13;0;;;;Blaivus
Alytaus m. sav.;2015-08-24;08:02:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1985-09-16;0;Uzsegtas;Atitinka;9;Blaivus
Alytaus m. sav.;2015-10-09;17:20:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1946-03-10;0;Uzsegtas;Atitinka;34;Blaivus
Alytaus m. sav.;2015-10-13;15:09:00;2;1;0;1;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1982-02-17;0;Uzsegtas;Atitinka;16;Blaivus
Alytaus m. sav.;2015-10-15;07:50:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1978-01-25;0;Uzsegtas;Atitinka;15;Blaivus
Alytaus m. sav.;2015-10-19;18:50:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1997-07-30;0;Uzsegtas;Atitinka;0;Blaivus
Alytaus m. sav.;2015-11-19;17:33:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;REGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;Moteris;1968-10-21;0;Uzsegtas;Atitinka;28;Blaivus
Alytaus m. sav.;2015-11-30;06:36:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1963-03-14;0;;Atitinka;32;Blaivus
Alytaus m. sav.;2015-12-01;13:01:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1997-05-19;0;;Atitinka;0;Blaivus
Alytaus m. sav.;2015-12-02;07:32:00;3;0;1;3;3;;Asfaltbetonis, cementbetonis;Apledejusi;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1955-03-05;0;;Atitinka;31;Blaivus
Alytaus m. sav.;2015-12-11;17:10:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;slapia;Sutemos (prieblanda);Apsiniauke;Tiesus horizontalus ruozas;0;;;Pesciasis;Vyras;2002-11-15;0;;;;Blaivus
Alytaus m. sav.;2015-12-20;16:42:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Horizontalus vingis;0;REGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;Vyras;1973-10-01;0;;Atitinka;18;Blaivus
Alytaus m. sav.;2015-12-28;15:13:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;Apledejusi;Diena;Lijundra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1960-08-25;0;;Atitinka;21;Blaivus
Alytaus m. sav.;2015-12-30;14:17:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Apledejusi;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;Isvaziavimas is kiemo, automobiliu stovejimo aiksteles ir pan;Automobilio vairuotojas;Vyras;1994-08-11;0;;Atitinka;1;Blaivus
Alytaus r. sav.;2015-01-06;12:10:00;2;0;1;2;2;Rajoniniai keliai;zvyrkelis;Apledejusi;Diena;Giedra;Horizontalus vingis;0;;;Automobilio vairuotojas;Vyras;1993-06-06;0;Uzsegtas;Atitinka;3;Blaivus
Alytaus r. sav.;2015-02-26;05:16:00;2;0;2;1;1;Rajoniniai keliai;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1996-04-04;0;Neuzsegtas;Neturi teises vairuoti;;Blaivus
Alytaus r. sav.;2015-03-11;12:40:00;3;0;1;3;3;Krasto keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1967-10-02;0;Uzsegtas;Atitinka;15;Blaivus
Alytaus r. sav.;2015-04-05;10:50:00;5;0;3;2;2;Krasto keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Apsiniauke;Vingiuota ikalne;0;;;Automobilio vairuotojas;Vyras;1951-01-04;0;Uzsegtas;Atitinka;2;Blaivus
Alytaus r. sav.;2015-04-09;20:00:00;1;0;1;1;1;Vietiniai keliai;zvyrkelis;Sausa;Tamsus paros metas;Giedra;Tiesi ikalne;0;;;Automobilio vairuotojas;Vyras;1986-04-17;0;Neuzsegtas;Neturi teises vairuoti;;Blaivus
Alytaus r. sav.;2015-05-16;00:30:00;2;0;1;2;2;Rajoniniai keliai;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Apsiniauke;Vingiuota nuokalne;0;;;Automobilio vairuotojas;Vyras;1992-01-12;0;Neuzsegtas;Neturi teises vairuoti;;Neblaivus
Alytaus r. sav.;2015-05-18;20:38:00;2;0;2;1;1;;zvyrkelis;slapia;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1965-04-28;0;Neuzsegtas;Neturi teises vairuoti;;Neblaivus
